source,target,relationship,description
206,163,Invest,The organisation invest in biomass projects in Australia.
207,163,Invest,The organisation invest in biomass projects in Australia.
208,163,Invest,The organisation invest in biomass projects in Australia.
209,163,Invest,The organisation invest in biomass projects in Australia.
210,163,Invest,The organisation invest in biomass projects in Australia.
211,163,Invest,The organisation invest in biomass projects in Australia.
212,158,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Australia.
213,158,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Australia.
214,158,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Australia.
215,158,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Australia.
216,158,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Australia.
217,158,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Australia.
218,158,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Australia.
219,158,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Australia.
220,158,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Australia.
221,158,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Australia.
222,158,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Australia.
223,158,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Australia.
172,164,Invest,The organisation invest in hydropower projects in Australia.
177,164,Invest,The organisation invest in hydropower projects in Australia.
192,164,Invest,The organisation invest in hydropower projects in Australia.
197,164,Invest,The organisation invest in hydropower projects in Australia.
212,164,Invest,The organisation invest in hydropower projects in Australia.
213,164,Invest,The organisation invest in hydropower projects in Australia.
214,164,Invest,The organisation invest in hydropower projects in Australia.
215,164,Invest,The organisation invest in hydropower projects in Australia.
216,164,Invest,The organisation invest in hydropower projects in Australia.
217,164,Invest,The organisation invest in hydropower projects in Australia.
218,164,Invest,The organisation invest in hydropower projects in Australia.
219,164,Invest,The organisation invest in hydropower projects in Australia.
220,164,Invest,The organisation invest in hydropower projects in Australia.
221,164,Invest,The organisation invest in hydropower projects in Australia.
222,164,Invest,The organisation invest in hydropower projects in Australia.
223,164,Invest,The organisation invest in hydropower projects in Australia.
224,158,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in Australia.
225,158,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in Australia.
226,158,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in Australia.
227,158,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in Australia.
228,158,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in Australia.
229,158,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in Australia.
230,158,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in Australia.
90,165,Invest,The organisation invest in geothermal projects in Australia.
224,165,Invest,The organisation invest in geothermal projects in Australia.
225,165,Invest,The organisation invest in geothermal projects in Australia.
226,165,Invest,The organisation invest in geothermal projects in Australia.
227,165,Invest,The organisation invest in geothermal projects in Australia.
228,165,Invest,The organisation invest in geothermal projects in Australia.
229,165,Invest,The organisation invest in geothermal projects in Australia.
230,165,Invest,The organisation invest in geothermal projects in Australia.
232,4,Opposes,Public opinion in Japan strongly opposes solar energy project.
231,6,Opposes,Public opinion in Japan opposes hydropower project.
231,7,Opposes,Public opinion in Japan opposes biomass project.
231,8,Supports,Public opinion  in Japan supports geothermal energy project.
231,9,Opposes,Public opinion in Japan strongly opposes nuclear power project.
232,4,Opposes,"Public opinion in China strongly opposes solar energy project, with concerns reflected in the majority of comments."
232,5,Opposes,Public opinion in China strongly opposes wind energy project.
232,6,Opposes,Public opinion in China strongly opposes nuclear power project.
233,4,Supports,"Public opinion in Australia strongly supports solar energy project, reflecting broad approval."
233,5,Opposes,Public opinion in Australia mostly opposes wind energy project
233,6,Opposes,Public opinion in Australia is divided but leans slightly toward opposition about hydro power project.
233,7,Opposes,Public opinion in Australia opposes biomass project
233,9,Opposes,Public opinion in Australia opposes nuclear power project
11,13,Support,The government give subsidies to wind energy project
11,14,Support,The government give subsidies to biomass project
11,15,Support,The government give subsidies to solar project
11,16,Support,The government give subsidies to hydropower project
11,17,Support,The government give subsidies to Storage batteries (lithium-ion) project
11,18,Support,The government give subsidies to geothermal project
11,19,Support,The government give subsidies to nuclear power project
97,99,Support,The government give subsidies to wind energy project
97,100,Support,The government give subsidies to solar project
97,101,Support,The government give subsidies to biomass project
97,102,Support,The government give subsidies to hydropower project
97,103,Support,The government give subsidies to geothermal project
97,104,Support,The government give subsidies to nuclear power project
159,161,Support,The government give subsidies to wind energy project
159,162,Support,The government give subsidies to solar project
159,163,Support,The government give subsidies to biomass project
159,164,Support,The government give subsidies to hydropower project
159,165,Support,The government give subsidies to geothermal project
