Post Body,sentiment
"結局、固定買取価格とか糞みたいな皮算用制度を導入したせいで、再エネ賦課金で未だに日本国民を苦しめ続ける民主党…。
#悪夢の民主党政権
#再エネ賦課金は民主党のせい",0
"それ、そもそも固定価格買取制度があるからでは？

日本共産党って再エネ普及のために固定価格買取制度そのものには肯定的な立場という印象がありますが、あれこそ国民負担が生じてるのにそこはさほど気にせずにそれですか？",0
"そもそも論ですが、FIT（固定価格買取制度）・FIP（売電価格への上乗せ）制度がなければ普及しない再エネって、地球や人類に良いわけないですよね。
本当に良いモノなら、何もしなくても普及すると思うのです。
喜ぶのは、既得権益受益者だけっしょ。",0
日本の固定価格買取制度（FIT）を悪用したベトナム企業のバイオマス燃料認証偽装問題で、経産省による「過払い金」は年100億～160億円。国民の再エネ賦課金に上乗せ。業界試算（RIEF） | 一般社団法人環境金融研究機構 https://rief-jp.org/ct5/129862,0
"ラピダスは
0.07秒の停電で大損失がでる
【半導体製造電力を再エネで賄う事】に
固執して苦しんでいますね。
FIT制度をごり押しした
孫正義氏率いるソフトバンク参入の弊害です
日本の半導体製造業が
「FITで壊滅した日本の太陽光パネル製造業」の
二の舞にならない事を祈ります
#ラピダス #rapidas",1
"再エネ賦課金と固定価格買取制度の弊害。
計画経済と価格統制が日本経済と緑豊かな大地を破壊している。
#税金下げろ規制をなくせ",1
また逃げそうだが、政治生命を懸けて頑張って主張し続けてほしいものだ。河野氏の大失策で未曾有の被害を日本に与えたFIT再エネの廃止とmRNA製剤大規模接種廃止もやってほしい。こういうパワハラ政治家しかまともなことを言えない自民は早く下野して既得権のしがらみを切ってほしいものだ。,0
この件で自分は河野太郎氏に政治家としての能力が無いことを確信しました。大言壮語を吐く粗製乱造型の参謀達に騙されて非現実的な作戦を実施して多くの兵を無駄死させた旧日本軍の将軍達の亡霊の様な政治家です。FIT再エネで懸念していたことがコロナ対策で実証されました。,1
また逃げそうだが、政治生命を懸けて頑張って主張し続けてほしいものだ。河野氏の大失策で未曾有の被害を日本に与えたFIT再エネの廃止とmRNA製剤大規模接種廃止もやってほしい。こういうパワハラ政治家しかまともなことを言えない自民は早く下野して既得権のしがらみを切ってほしいものだ。,0
この件で自分は河野太郎氏に政治家としての能力が無いことを確信しました。大言壮語を吐く粗製乱造型の参謀達に騙されて非現実的な作戦を実施して多くの兵を無駄死させた旧日本軍の将軍達の亡霊の様な政治家です。FIT再エネで懸念していたことがコロナ対策で実証されました。,1
FIT（再エネ固定価格買取制度）＋付加価値税（消費税）を採用している国の電気料金はバカ高くなっている。ドイツとか北欧とか。日本もそれに向かうのか？どこのどいつが考えた仕組みか知らんけど、多くの世界市民で連帯して　”NO”　を突きつける必要がありそう。,0
"■国民負担の省エネ賦課金っておかしいワ

再生可能エネルギー発電促進賦課金
再エネの固定価格買取制度

おかしい
事業者に固定資産税を課すのが普通

電気料金の一部を電気を使用になる客に負担

発電した電気を事業者に支払う原資を国民から一律に徴収

国会議員と官僚と業者の癒着",1
日本版FITを導入しようとした時、多くのペテン師が「少し電気代が高くなっても再エネで雇用が増える！」と言っていたが、出てきたのは大量のペテン師と消費税よりも高い電気代、自然破壊だった。騙された国民がアホである。,1
"太陽光パネル、メガソーラーパネル
日本の電力会社が、固定価格買取制度で推進して
再エネ賦課金という国民の電気代に
上乗せしたお金を、中国政府系事業者に渡します

阿蘇山脈や釧路湿原など、大自然を破壊し
有害パネルを敷いて、定期メンテなどしません
敷くだけ敷き、お金を貰えば放置です",0
"再エネを増やすと電気代が増える、という「現時点での」誤解についての反論。

再エネのせいで再エネ賦課金がかかるというが、問題は日本の固定買取制度は発電開始から20年買取価格固定という点。",0
"日本でも、太陽光発電・風力発電は、ともにコストは着実に低下。

だが、再エネ買取制度（FIT）による買取価格が2030年代半ば頃まで高止まり続けるため、特に太陽光発電に係る国民負担（再エネ賦課金）の高止まりも解消しない。

https://meti.go.jp/shingikai/sankoshin/sangyo_gijutsu/chikyu_kankyo/ondanka_2050/pdf/001_04_00.pdf…",1
"#再エネ #風力発電 #太陽光発電
https://x.com/umi51771815/status/1718153135590715717?s=20…
から続く

自然破壊
ウイグル強制労働
日本
民主党政権 菅2010.6.8- 2011.9.2
2011.8再エネ促進法成立
・固定価格買取制度(FIT) 国民に賦課金
40円/kW時(原発の4倍)→新規12円(20年～)
孫正義氏:40円以上(欧州20円)
・売電権転売可
・非建築物",0
日本が2012年に導入した固定価格買取制度による買い取り総額は2016年が2.3兆円，2030年までの累積総額は約59兆円。再エネ賦課金は2016年で1.8兆円，2030年までの累積総額が約44兆円。この合理性の乏しい制度を導入したドイツに続いているのは日本，台湾，韓国ぐらい。日本も一刻も早く廃止すべきです。,1
海外事業家が日本の売りである自然豊かな山や湿地をソーラーパネルで埋め尽くし（電力の固定価格買取制度目当て？）ゲリラ豪雨で土砂災害、住民被災・再エネ賦課金で電気代上がって国民の負担増えてるんですが、さらにAIでCO2も増やして森削るんか？アホなの？？シムシティとかCitiesSkylineちゃうぞ,1
FITやFIPが中心の日本で、マイナス価格を導入しようと思えば、守銭奴の再エネ事業者がカネを払うはずはなく、送配電会社が負担＝託送料金に転嫁という形になるだろう。再エネ大量導入すれば天井なしで電気代は上がり続ける。再エネ事業者は濡れ手で粟。これぞ政治家とグルになった再エネ利権。,1
"2012年の再エネ買取制度（FIT）開始により、太陽光発電導入量は急拡大。

日本は、平地面積当たりの導入量が主要国で最大級。

一方で、この導入拡大に伴い、様々な地域との共生上の課題も生じている状況。

https://meti.go.jp/shingikai/sankoshin/green_innovation/green_power/pdf/010_04_00.pdf…",1
【ch桜北海道】再エネの闇（再エネ利権、再エネ賦課金、FIT・FIP）を徹底解説！[R5/2/7] https://samurai64.blog.fc2.com/blog-entry-33579.html…,0
『再エネFITは民主党政権の生んだ詐欺と腐敗の温床』これでいいのか？戦後日本「より良き日本を..｜https://samurai-nippon.blog.ss-blog.jp/2023-02-03-26,0
"再エネ賦課金制度と固定価格買取制度がないと成立しない発電方法は、環境にも経済にも悪い技術です。

日本政府は自由市場を歪めるな！

#税金下げろ規制をなくせ",0
"日本の追い抜かされ方が痛過ぎ…

国策で国産体制を整える必要あり。

https://nikkei.com/article/DGXZQOUC1884N0Y3A410C2000000/…
蓄電池が世界で普及期 5年で10倍、再エネ拡大と歩調
再エネ主力電源化に蓄電池は欠かせない。日本は15年まで世界最大だったが、商用化で出遅れ。日本の再エネはFITで普及し蓄電池需要が伸びなかった…",1
"地震と原発事故でパニック状態の最中に”再エネで復興”と声をあげ｢固定価格買取制度｣を提案した孫正義。それを菅直人首相が導入して、賦課金という重しを課せられ続ける日本
こっちの方が大きな汚点だ

「私の人生の汚点だ」孫正義氏が大失敗
WeWork破綻で語った",0
"環境問題への対策として、日本全体で再エネ発電普及を目指しています

FIT・固定価格買取制度の仕組みとメリットをわかりやすく解説
https://earthene.com/media/155
そもそもFIT・固定価格買取制度とは？
メリットをご紹介！
必要な手続き
#発電 #再エネ #脱炭素",0
サンシャイン計画ですね。当時から比べて太陽光パネルが飛躍的に発展したわけではありません。日本版FITは強欲に塗れた政治家がこうした経緯を忘れた日本人を騙して導入したものですね。与党も野党も再エネに絡んだ政治家はクソですよ。,1
"洋上風力汚職、業界団体経由「海外では設備を撤去するより残置することが通例。日本でも残置の考え方を明確化していただきたい」 https://yomiuri.co.jp/national/20230916-OYT1T50343/…
FITやFIPで儲ける事業期間20年の経過後に残置って、これ、再エネで一番やってほしくないこと。
トイレなき何とかで、こんな主張は許せない。",1
"日本の「土地生産性」は世界一だから、土地を浪費する産業は育たない。すでに日本の平地面積あたり再エネ発電量は世界一で、FITの新規認定は止まっている。
農業が衰退したのと同じ理由で、FITが終わったらメガソーラーは消えるだろう。",1
">反原発・再エネ導入を絶対善とするテレビの大衆操作によって原発停止とFIT制度が実現される中（中略）日本の世論は電力自由化と発送電分離を熱烈に支持しました。結果として、国民は多くの富を失うと同時に…

同じ轍を踏んでは駄目で、メディアや有名人の扇動に今こそ注意。",1
"日本を破壊する53制度

・憲法9条と自衛隊法ポジティブリスト
・財政法 第4条 第1項
・関税定率法と特殊関税制度
・FIT制度と再エネ賦課金
・GATS協定
・出入国管理及び難民認定法
・LGBT理解増進法
・放送法
・特定非営利活動促進法（NPO法）",1
">公共奉仕への意識…

日本のインフラの素晴らしさはここにある。その部分の制度的公正性合理性がないまま、電力自由化は進められた。
参入のハードルが低い上に、法外なFITによる再エネ利権と世界的脱炭素への流れで、その弊害は一般国民の目にも明らか。システム改革の見直しは喫緊の問題だと思う。",0
"化石資源は元よりないが、日本には再エネの適地も本当に少ない。それでもやらなくてはいけないなら、高額FITと野放図なメガソーラーを入れたのは大失敗だったのでは？
もっと言うなら自由化も発送電分離も。",0
"「入札ルールの再見直し」ではなく制度の改廃を

国民から搾取するな
ＦＩＴ法廃止
再エネ議連解散
原子力発電積極推進

温暖化問題を煽動した謎の人物
https://youtube.com/watch?v=bWiMeoCH_yU…
SDGsに洗脳｜地球温暖化の嘘
https://youtube.com/watch?v=t6AMjgYPGp8…
https://youtube.com/watch?v=cwKZeYwu-wA…

 https://msn.com/ja-jp/money/other/%E5%BA%B6%E6%B0%91%E3%81%AB%E9%AB%98%E3%81%84%E9%9B%BB%E6%B0%97%E6%96%99%E9%87%91%E3%81%AE%E6%94%AF%E6%89%95%E3%81%84%E3%82%92%E7%B6%99%E7%B6%9A%E3%81%95%E3%81%9B%E3%81%8B%E3%81%AD%E3%81%AA%E3%81%84%E7%A7%8B%E6%9C%AC%E8%AD%B0%E5%93%A1%E3%81%AE-%E5%A4%A7%E7%BD%AA-%E3%81%AE%E8%A7%A3%E6%98%8E%E3%81%A8%E4%BB%8A%E3%81%93%E3%81%9D%E5%BF%85%E8%A6%81%E3%81%AA-%E5%85%A5%E6%9C%AD%E3%83%AB%E3%83%BC%E3%83%AB%E3%81%AE%E5%86%8D%E8%A6%8B%E7%9B%B4%E3%81%97/ar-AA1gzhP0?ocid=socialshare&cvid=43ac46d186af4d2b9503f8230795e3d8&ei=28…",0
"原発を再稼働するだけなら、311以前に日本で利用していた量と同じだけのウランしか必要としないのだが、何故、日本が原発を再稼働するだけでウラン価格が高騰するのか、全く理解に苦しむ(苦笑)。
再エネが安くて、蓄電池を付ければ火力や原子力の様に24時間利用可能なら、FITやFIPを止めて欲しい(苦笑)",0
"これからそんなに再エネ賦課金は伸びないと思うけど。
だってFITほぼ終わってるから。

そしてそこからは安価でクリーンなエネルギー源が日本に残るわけだよ。

再エネ賦課金が上がってるって言うけど、電力会社の電気代もかなり上げたじゃん(笑)",0
"電気代高騰の要因でもある固定価格買取制度（FIT）を定めた再エネ特措法を推進、制定したのは菅直人元首相とソフトバンクの孫正義氏。日本は欧州諸国と比べ、3倍以上の買取価格を設定したので、投資対象として外資の参入が相次いだ。
※現在はFIT制度からFIP制度に移行
#再エネ賦課金",1
"再生可能エネルギー　その2

では今日本でやってる
再生可能エネルギー事業
・太陽光
・風力
・水力
・バイオマス
なんかは
FIT制度って言って
国主導で
電力会社に買い取らせる
言わば
投資ビジネスだ
最悪なのは
「再エネ賦課金」
と言って
電気料に変化して
国民が負担してるの
知ってるかな",1
"再エネ(電力)が75%。まだ8日とはいえこれだけ出来高があるとなると、FIT非化石証書よりJクレ再エネを買うニーズがあるのかと…とやはり考えてしまう

カーボン・クレジット市場の累計売買高が１万トンを超えました | 日本取引所グループ",1
"＞これ（再エネ賦課金をやめる）が一番簡単じゃないですか
どこがだよ。
再エネ賦課金をやめるためにはFITを全部やめなきゃならない。日本にあるメガソーラー9,000基、その他小水力、風力、バイオマス、個人宅での太陽光まで含めて何万件ある？
未曽有の集団訴訟になるぞ。",0
"職業柄個別株は買えないのだけども、久々に個別株でもReviewしてみようと。

早速、、
再エネ関連が全滅しててヤバいですね。。
FITも条件がどんどん悪くなり、全体的に採算が悪化してきてんのよね。
脱炭素の流れとかあるけど、ここに上げてるような再エネ関連には期待できないかもしれん。",0
"FIT制度
日本国民から強制徴収されて再エネ業者に流れる
再エネ業者の多くは中国系企業
売国的政策
 #あさ8",0
再エネの問題はコストではない。日本の再エネはFIT新規認定がなくなり、もう供給が止まったのだ。平地が狭く、適地にはソーラーパネルを敷き詰めたから、すでに面積あたり再エネ発電量は世界一。それでも電力の10％に満たない。,1
"日本がいつのまにかこんな状態。今後は風力発電も

政府が再エネ、カーボンニュートラル、脱炭素、グリーン政策、GXという名で推し進めている。

下の固定価格買取制度（FIT）制度のせい

後に太陽光パネルはゴミになり、リサイクルに凄い費用がかかるらしい。これも税負担？

https://nishinippon.co.jp/item/n/1065445/",0
"原子力、化石燃料、水力その他再エネ各々の電気の最終消費段階までのコストは、日本の場合、原子力が最安値。

再エネは、FITに因り非常に高く、天候変動なのでそもそも原子力・化石燃料とは比較にならない。

https://mainichi.jp/premier/business/articles/20230629/biz/00m/020/005000c…
「原発をやめれば電気料金は下がるのではないか」と株主指摘…",1
"カーボン•クレジット市場の初日終了。総売買高は3689t-CO2で、うち再エネ電力が3562t-CO2。
所感は、やっぱりFIT証書があってもなおJクレ再エネ電力にニーズあるんだな…って

カーボン・クレジット市場の市場開設日の売買状況について | 日本取引所グループ",1
"再エネ維持の費用が相当額発生するか、卒FIT再エネを放置し日本は先進国で唯一再エネ比率が低下することにならないか？

なると思います。",0
"カリフォルニアでは蓄電コストを州（ISO）が負担し、それをすべての消費者の託送料金に乗せたので、電気代がバカ高くなった。
日本ではそういうコストをエネ庁が発電側課金で新電力に負担させようとしたが、再エネTFが反対し、既存FIT業者は除外された。再エネTFと自然エネ財団は消費者の敵だ。",1
"・再エネ賦課金
・太陽光の補助金
・FIT（固定価格買取制度）

なんか少し引いた目でみると、日本政府が中国政府に金と土地を献上するシステムのように思えてくる。

日本に乱立する太陽光、裏で誰が得してる？

日本の不動産と金の流れが、どこからどこに流れたのかを可視化すれば一目瞭然か？",0
"日本がいつのまにかこんな状態。今後は風力発電も

政府が再エネ、カーボンニュートラル、脱炭素、グリーン政策、GXという名で推し進めている。

下の固定価格買取制度（FIT）制度のせい

後に太陽光パネルはゴミになり、リサイクルに凄い費用がかかるらしい。これも税負担？

https://nishinippon.co.jp/item/n/1065445/",0
【#ソーラーシェアリング】岸田総理は日本の再エネ適地は限られていると発言していますが、本当でしょうか？ソーラーシェアリングのFIT価格を上げて、自然破壊に繋がる大規模野立てをソーラーシェアリングに政策誘導すべきと国会でも取り上げてきました。,1
"それでしたら日本の宝の自然遺産を破壊してまでソーラーパネルを全国に設置して売電し「再エネ賦課金」でボロ儲けしている売国奴達のことをなぜメディアは全然取り上げない？忖度？

再エネ賦課金と美辞麗句を羅列しているがこれは詐欺です。

これはFIT可決直後の放送。",1
日本の産業を毀損しているFIT再エネはもう日本国民からは見放されたと思う。それに気付かない再エネ議連の議員達も見放されているだろう。問題は再エネ議連の所属議員が分からないこと。有権者は自公の議員全員が再エネ議連だと認識する必要がある。FIT再エネ制度を始めた議員が多い立民も同様だろう。,1
"リレーのお願いです
#あさ8 放送禁止。でも書かれていたが上海電力始め外資も日本でウイグルジェノサイド太陽光パネルを使って発電。固定価格買取制度、再エネ賦課金で楽して稼ぐ。自民党公明党日本維新の会等の罪は重い

#メガソーラー建設反対 
#風力発電反対 
#再エネ賦課金反対",0
"このFIT ID が諸悪の根源
実は「日本の国土問題」なのに
再エネという名で土地利用が緩く
一度認定されたら取消も困難
転売も可能で次々事業者が変わり外資になっても法的規制がないのです
#太陽光パネル義務化反対 
#メガソーラー建設反対 
@myamaguchi15",1
"そんなことよりFIT（固定買取制度）を総理時代に推進して「1ヶ月コーヒー 1 杯の負担で安心安全が手に入る」と説明して可決させ国民に44兆円負担させましたが今はいくらですか？

電気代（再エネ賦課金）からピンハネするために日本の自然や景観、生き物まで破壊されています。

責任は菅さんです。",1
"それでしたら日本の宝の自然遺産を破壊してまでソーラーパネルを全国に設置して売電し「再エネ賦課金」でボロ儲けしている売国奴達のことをなぜメディアは全然取り上げない？忖度？

再エネ賦課金と美辞麗句を羅列しているがこれは詐欺です。

これはFIT可決直後の放送。",1
"そんなことよりFIT（固定買取制度）を総理時代に推進して「1ヶ月コーヒー 1 杯の負担で安心安全が手に入る」と説明して可決させ国民に44兆円負担させましたが今はいくらですか？

電気代（再エネ賦課金）からピンハネするために日本の自然や景観、生き物まで破壊されています。

責任は菅さんです。",1
"反原発はもはやカルト宗教です。教義のためなら風評も肯定します。彼らとその信者は、不合理な原発停止とFITにより、日本国民に対して少なくとも数十兆円にも及ぶ莫大な被害を等しく与えてきました。「原発ゼロ・再エネ100の会」のようなカルト教団にこそ解散命令が妥当です
https://news.yahoo.co.jp/articles/7b0a6fe411c7d1c843ce16dff840c3b4a69918f7…",1
"日本の世界自然遺産が壊されたり中国に電気をコントロールされたりマジでソーラーパネルは要らない。

そもそもこの男がFIT（固定買取）を孫さんと制度化しなければ国民は44兆円負担せず電気代も高騰していない。

電気の請求書にある「再エネ賦課金」とは菅・孫の負の遺産で見るたびに顔が浮かぶ。",1
この明白な失政（電力業界が抱えているリスクの性質を政治かも官僚もまるで理解していない）がフラジリスタ集団のFIT再エネ議連と無誤謬性に囚われた経産省の官僚の共同作業で進んで行く。自公政権のやっていることは日本社会貧困化政策ばかりだ。いつになったら国民は気付くのだろうか？,0
"これ国民は完全に嵌められました。

2012年FIT（固定買取制度）は40円でしたが現在10円。

それなのに法改正が行われて既得権益者は40円のまま国民負担で売電出来ます。

釧路湿原・長崎と工事が進められていますが国民負担（再エネ賦課金）です。

釧路湿原なんて日本の宝が破壊されています。",1
来月から着工される日本最大規模のメガソーラーパネルは現在FIT（固定価格買取制度）が10円なのに法改正が行われて事業者は2012年の40円のままで国民負担で売電できるっておかしい。2030年までに44兆円の再エネ賦課金を負担させられていることを知らない国民も多い。,1
日本は既に「平地面積当たりの太陽光発電導入量」で圧倒的世界1位｡緑を潰して広がる一方の太陽光パネル｡日照時間が少なく､しかも冬は雪に閉ざされる北海道でも､FIT(固定価格買取制度)の恩恵を得ようと知床半島や釧路湿原にまで“侵略”は進む｡心ある国民は再エネ議連の当選を阻止しなければならない,1
4月からの再エネ賦課金upで標準世帯の年間負担額は約1万円増｡事実上の増税である｡ついては菅直人氏&孫正義氏2人のこの映像を見てほしい｡彼らが導入したFIT(固定買取制度)で国民は44兆円もの負担をさせられ､緑は潰され､日本の自然が破壊され続ける｡一刻も早く政治を変えなければ日本が終わる所以,1
これで河野総裁に一歩近付いたと思う。河野氏が総裁になり総理になったらマスコミは手のひらを返して、FIT再エネや新型コロナ対策で数百兆円に及ぶ経済被害を日本にもたらした政治手腕を酷評し始めるだろう。有権者の怒りに火が付いたら自公は崩壊するかもしれないし、無いも起きないのかも知れない。,1
玉木さんが訴えているこの再エネ賦課金はそもそも2011年にソフトバンクの孫さんが20円だったドイツの太陽光の買取価格を国会で65円だとウソの説明をして日本も40円でFIT（固定買取制度）がスタートした事で国民は再エネ賦課金として44兆円を負担。更にその後「再エネ特措法」が改正された事で来月から,1
自公政権が日本貧困化政策を続ける限り、自民党の議員は落選して消えてゆくだろう。法の不遡及の原則を破って原発廃止を強行している役所の暴走を止めるのが正しい政治家の役割だ。FIT再エネで血税の甘い汁を吸っている内にそんなことも分からない頭の弱い政治家ばかりになったか？,0
その狂気の政治家である河野太郎が日本人には人気者で首相候補。原発停止やFIT再エネやmRNA製剤大規模接種で亡国規模の大失策を主導しても未だに国民は河野太郎を溺愛している。もうつける薬がないほど愚かな国民だと思う。愚か者は罰金が課されるのがこの世界の有り様なので、日本の貧困化は当然だ。,1
"> 2011年の孫正義氏のプレゼン。「ドイツは65円/kWhでFITを成功させた」といって、日本でも40円以上の買取価格を求めた。当時のドイツの買取価格は20円だったのだが。

え？じゃあ孫さんが嘘をついてプレゼンして40円となり国民は再エネ賦課金の44兆円を負担させられ全国にパネルが造られたんですか？",1
"> 2011年の孫正義氏のプレゼン。「ドイツは65円/kWhでFITを成功させた」といって、日本でも40円以上の買取価格を求めた。当時のドイツの買取価格は20円だったのだが。

え？じゃあ孫さんが嘘をついてプレゼンして40円となり国民は再エネ賦課金の44兆円を負担させられ全国にパネルが造られたんですか？",1
そしてこのメガソーラーが将来危険なゴミとなる。その時には日本政府に処理する余裕も無くなるので放置しか無いだろう。FIT再エネ政策を放置した我々現生日本人は将来世代から恨まれ続けることになる。,1
この「何かを押し付けてくる方にコストを支払わせる（身銭を切らせる）」は非常に重要な考え方で、日本社会はまだこの考え方に到達していない。故にFIT再エネや無料ワクチンなどを含めてフラジリスタ的な仕組みに溢れている。自分はタレブ（https://ja.wikipedia.org/wiki/%E3%83%8A%E3%82%B7%E3%83%A0%E3%83%BB%E3%83%8B%E3%82%B3%E3%83%A9%E3%82%B9%E3%83%BB%E3%82%BF%E3%83%AC%E3%83%96…）の著書からこの考えを学んだ。,1
"ニュース速報

旅行したい国の一つポルトガル

ポルトがるの5 月は再エネが95% を賄いました

は2019年再エネ比率37%から2024年は92%に増加させています

たった5年間で急速な脱炭素化

日本

自民党に原発村からたった5年間で70億バラ撒かれました

自民党と原発村は一体

結果再エネは進まない",1
"https://n.bme.jp/68/314/23350/135875…
「データセンターを建設しようとしているGAFAM（米主要IT企業）は『脱炭素』を進めており
「データセンターをつくる際、『再エネ電源があるか』が重要になってくる。GAFAMは取引先にも脱炭素を求めており、日本企業が焦り始めています」（古賀茂明氏）
 #河野太郎 #原子力",0
アホ政治家共！しょうもない脱炭素や､再エネやとかに金使わせて､本来生産や設備投資に回す金を削り自分の首を絞めて来たツケがこれや。日本を潰す気か自民党！クソ政府,0
"再エネ賦課金は取るわ
今度は発電所の建設費？
国民バカにしてるだろ！
原発動かして太陽光パネル辞めろ！バカ！日本の政治家って本当にバカ！

【原発など新たな""脱炭素#発電所の建設費、電気料金に上乗せ検討。経産省】",1
"【日本にいらないもの】・岸田文雄・上川陽子・武見敬三・日本医師会・デマ太郎・マスゴミ・こども家庭庁・厚労省・mRNAワクチン・日本版CDC・SDGs・LGBTQ法・脱炭素・ゲノム編集食品・昆虫食・マイナカード・緊急事態条項・再エネ賦課金・太陽光発電　他には？
https://newssharing.net/nihonniiranaimono…

via mooncave",1
"日本を守りたい皆さん、おはようございます

恐怖の予想
スンズローが総理になったら「再エネ爆推し」になる
親分の菅氏は脱炭素論者
奥様の滝クリは太陽光事業者と深く連携
当然メガソーラーは増え再エネ賦課金も増える

恐怖の未来が来ない事を祈りつつ、
今日も元気にがんばりましょう！",0
"【脱炭素電源（原子力・再エネ）の立地状況】

日本では、例えば、洋上風力は風況に左右され、再エネ供給適地が偏在しているなど、脱炭素エネルギーの供給拠点には地域偏在性あり。 

再エネや原子力など脱炭素電源比率が４割を超えるのは北海道・関西・九州のみ。

https://meti.go.jp/shingikai/sankoshin/sangyo_gijutsu/chikyu_kankyo/ondanka_2050/pdf/001_04_00.pdf…",1
"今日の #しんぶん赤旗 中の人関心記事

 裏金未解明　予算案採決強行
自民混迷　幕引きは失敗
(1面)

 参院選に裏金疑惑　究明必要
遅れる被災者支援「国が総力を」
(1面)

 原発より再エネ普及
脱炭素へ吉良議員参考人質疑
(4面)",1
"アホな進次郎を使って、脱炭素46%を推し進めやがって
世界一のトヨタ自動車の足（日本自動車工業会全社）を無理矢理EV推進し、中小企業まで混乱させやがったのが菅義偉。
その上、河野太郎は図に乗って、毒された再エネ議連。
馬鹿を産み出す菅義偉。
是からは、
脱「脱炭素」",0
"日本にいらないもの
・岸田
・上川
・武見
・医師会
・デマ太郎
・マスゴミ
・こども家庭庁
・厚労省
・mRNAワクチン
・日本版CDC
・新型インフル行動計画
・SDGs
・LGBTQ
・脱炭素
・GX
・ゲノム編集食品
・昆虫食
・マイナカード
・緊急事態条項
・インボイス
・再エネ賦課金
・太陽光発電",1
【日本にいらないもの】・岸田文雄・上川陽子・武見敬三・日本医師会・デマ太郎・マスゴミ・こども家庭庁・厚労省・mRNAワクチン・日本版CDC・新型インフル行動計画・SDGs・LGBTQ法・脱炭素・GX・ゲノム編集食品・昆虫食・マイナカード・緊急事態条項・インボイス・再エネ賦課金・太陽光発電,1
"日本を経済的に疲弊破壊し
企業や人を全て外国に支配させるための政策が
脱炭素や再エネ推進
脱炭素も環境問題も全て嘘
再エネは電力供給を不安定化し、日本の高い供給能力を破壊し
外国に日本を安売りするための手法",0
"日本を経済的に疲弊破壊し
企業や人を全て外国に支配させるための政策が
脱炭素や再エネ推進
脱炭素も環境問題も全て嘘
再エネは電力供給を不安定化し、日本の高い供給能力を破壊し
外国に日本を安売りするための手法",0
"国民を犠牲にしてまで利権にはしる再エネ政策

【杉山大志　再エネ利権を一掃せよ】日本を滅ぼすエネルギー政策　抵抗していた経産省こそが強力な「脱炭素利権」に　中国に利するだけの政治が変わるしかない https://zakzak.co.jp/article/20240807-OLVIQDXVQBNOJML6UAI6H2EATU/… @zakdeskから",0
"日本を経済的に疲弊破壊し
企業や人を全て外国に支配させるための政策が
脱炭素や再エネ推進
脱炭素も環境問題も全て嘘
再エネは電力供給を不安定化し、日本の高い供給能力を破壊し
外国に日本を安売りするための手法",0
"日本を守りたい皆さん、おはようございます 

再エネ、脱炭素、SDG’ｓ、移民受入れ、メディアはなぜ左傾化するのか？
優しい日本人が「メディアの偽善」に共感するのは無理もないことかもしれない
でも本当にそうすべきなの？？？
目を覚まそう日本人！

 の日曜日、ゆっくりお過ごしください",0
世界中で脱炭素を唱えながら、実際のところ炭素濃度は下がっていないという現実があります。それは日本をはじめとした各国の企業倫理や資本主義が方向転換できないからです。さくらさんたちの活動、車のEV化が再エネ発電や蓄電池の開発によって脱炭素に貢献することの意義は大きい。,0
"独り言。

再エネ。
メガソーラー。
脱炭素。

コレらを有無も言わさず
推し進めるのか。

それは
支那の売れ残りパネル購入。
支那に欧米の電力会社参入。
トヨタ始め日本車潰し。

金と利権に狂った国会議員達の小遣い稼ぎ。

国を切り売りする売国議員は落とそうよ。

#売国議員は選挙で落とそう",0
"【脱原発~脱炭素~再エネ】日中の太陽光発電で海水を山上へ揚水,夜間に海へ放流する水力発電や風力発電などの再エネ~そして蓄電池への充電こそ人類の叡智なりや。[福一]を見るまでもなく,地震大国の日本で原発は禁忌。[原子力ムラ]は,原発発出のプルトニュウムを核兵器に使う為に原発に拘っているのか？",0
"日本を経済的に疲弊破壊し
企業や人を全て外国に支配させるための政策が
脱炭素や再エネ推進
脱炭素も環境問題も全て嘘
再エネは電力供給を不安定化し、日本の高い供給能力を破壊し
外国に日本を安売りするための手法",0
"2024.3.22　河野デジタル大臣

「再エネ最優先の原則の下、太陽光発電の導入をもう一度加速させるために〜」

https://youtu.be/DqwHZWj5WIw?si=YSWo7bRrP9nV3xx1…

JPモルガン、ステート・ストリート、ブラックロック、バンガードなどが気候変動対策、脱炭素関連の投資から撤退してるのに日本はいつまで続けるんだろうな",1
"日本を経済的に疲弊破壊し
企業や人を全て外国に支配させるための政策が
脱炭素や再エネ推進
脱炭素も環境問題も全て嘘
再エネは電力供給を不安定化し、日本の高い供給能力を破壊し
外国に日本を安売りするための手法",0
"再エネ賦課金が海外製太陽光装置に使われ、日本の産業育成に繋がっていないという指摘は反省すべき点。

2040年度のエネルギー計画(上)　脱炭素投資にコスト意識を　大橋弘・東京大学教授 - 日本経済新聞",0
"再エネや蓄電に補助金を突っ込んで安く見せても、最後は財政赤字で首が回らなくなる。
特に日本は社会保障支出が毎年3兆円以上増えるので、脱炭素化のような慈善事業に使う金はない。",1
"再エネ拡大へ｢英国式切り札｣　新公社で探る脱炭素の針路 - 日本経済新聞 https://nikkei.com/article/DGXZQOGR18CUU0Y4A910C2000000/…
""日本を含む「再エネ途上国」""とありますが、一体どのような根拠でこのコメントを入れられたのでしょうか。
このような印象論に基づいた文言は記事に対する信用度を下げ、感情論に基づいた",1
